Name,Affinity[µM],MW,logP,nrotb,HBA,HBD,PSA,n_atoms,Smiles
11477616,0.63,503.561,6.9633,6,6,2,69.18,37,COCOCc1cc(F)ccc1/C=C/1\Oc2ccc(c(c2-c2c1c1C(=CC(Nc1cc2)(C)C)C)OC)O
B05,0.117281526028661,256.383,3.9036,0,1,1,20.23,19,O[C@H]1CC[C@@H]2[C@]1(C)CC[C@H]1[C@H]2CCc2c1cccc2
E08,100.667442037867,270.237,2.5768,1,4,3,90.9,20,Oc1ccc(cc1)c1coc2c(c1=O)c(O)cc(c2)O
122180603,0.5756,450.409,4.12488,5,7,1,108.53,31,CNC(=O)c1ccc(cc1F)N1CCC(=O)N(C1=S)c1ccc(c(c1)C(F)(F)F)C#N
11382272,0.00045,341.77,1.63038,1,7,1,110.09,22,N#Cc1ccc(c(c1Cl)C)N1C(=O)[C@H]2[N@@](S1(=O)=O)CC[C@H]2O
44377274,0.009,282.261,3.0518,1,2,1,34.03,20,C[C@H]1Nc2c(C1)cc1c(c2)n(C)c(=O)cc1C(F)(F)F
44341860,0.785,363.493,6.7313,4,3,1,30.49,27,CCCC[C@@H]1Oc2ccc(cc2-c2c1c1C(=CC(Nc1cc2)(C)C)C)OC
22279296,0.0014,338.248,3.7675,5,2,1,36.1,23,O=c1cc(C)c2c([nH]1)ccc(c2)N(CC(F)(F)F)CC(F)(F)F
44454210,0.021,310.271,3.0278,2,4,0,40.62,22,O=C1N2[C@H]3CC[C@@H]([C@@H]2C(=O)N1c1cccc(c1)C(F)(F)F)C3
44341880,1.33,351.457,6.8618,3,2,1,21.26,26,CCCC[C@@H]1Oc2ccc(cc2-c2c1c1C(=CC(Nc1cc2)(C)C)C)F
J04,45.5180921673641,321.971,6.2548,1,0,0,46.12,18,Clc1cc(cc(c1[O-])Cl)c1cc(Cl)c(c(c1)Cl)[O-]
10741366,2.138,432.352,7.3433,1,2,1,21.26,28,Brc1cccc(c1)[C@H]1Oc2ccccc2-c2c1c1C(=CC(Nc1cc2)(C)C)C
10643931,0.504,387.446,5.9892,1,3,1,38.33,29,Fc1cccc(c1)[C@@H]1Oc2ccccc2-c2c1c1c(cc2)NC(C(=O)[C@@H]1C)(C)C
16090309,0.0044,284.277,3.3931,4,2,1,36.1,20,CCN(c1ccc2c(c1)c(cc(=O)[nH]2)C(F)(F)F)CC
11617028,0.057,338.874,6.6324,1,1,2,27.82,24,C[C@@H]1CC(C)(C)Nc2c1c(Cl)c(cc2C)c1cccc2c1[nH]cc2
46906503,0.065,378.396,6.0647,7,3,1,74.92,28,Fc1cccc(c1)[C@H](CC(=O)c1cccc(c1)C)Nc1ccc(cc1)[N+](=O)[O-]
44568383,0.52,410.509,5.3488,7,4,0,74.3,30,Cn1cc(cc1C(=O)N1CCCC1)N(c1ccc(cc1)[N+](=O)[O-])CC1CCCCC1
44263979,0.009,324.341,4.7727,3,2,2,44.89,23,CC[C@H]1C[C@@H](CC)Nc2c1cc1c(c2)[nH]c(=O)cc1C(F)(F)F
B06,492.378406202453,288.381,2.58,0,3,3,60.69,21,Oc1ccc2c(c1)CC[C@@H]1[C@@H]2CC[C@]2([C@H]1C[C@H]([C@@H]2O)O)C
22279323,0.065,284.277,3.6878,4,2,2,44.89,20,CC(CNc1ccc2c(c1)[nH]c(=O)cc2C(F)(F)F)C
69269362,0.003,356.363,4.28738,2,4,0,69.55,24,N#Cc1ccc(cc1C(F)(F)F)N1C[C@@H]2[C@H](S1(=O)=O)[C@H]1C[C@@H]2CC1
