Name,Affinity[µM],MW,logP,nrotb,HBA,HBD,PSA,n_atoms,Smiles
86280440,0.232,509.635,7.2633,9,5,2,82.81,36,COc1cc(F)ccc1c1c(CN(Cc2ccccc2)C)[nH]c2c1cc(cc2NS(=O)(=O)C)C(C)C
16731514,0.0029,305.759,2.28668,1,5,1,67.57,21,Cc1c(ccc(c1Cl)C#N)N1[C@@H](C)[C@H]2N(C1=O)CC[C@H]2O
25145082,0.11,398.815,6.4097,7,3,1,74.92,28,Fc1cccc(c1)[C@H](CC(=O)c1cccc(c1)Cl)Nc1ccc(cc1)[N+](=O)[O-]
9951771,0.844,379.493,7.2979,1,2,1,21.26,29,CC1=CC(C)(C)Nc2c1c1/C(=C/c3ccccc3C)/Oc3c(-c1cc2)cccc3
10615958,0.046,324.341,4.393,1,2,1,34.03,23,C[C@H]1CC(C)(C)Nc2c1cc1c(c2)n(C)c(=O)cc1C(F)(F)F
155519221,0.022,307.314,4.36268,1,3,2,47.85,22,N#C[C@H]1Nc2cc3NC(C)(C)CCc3cc2C(=C1)C(F)(F)F
49851369,0.37,431.346,5.481,6,4,2,90.46,26,Brc1cc(ccc1O)[C@@H](C(C(=O)Nc1nccs1)(C)C)c1ccccc1
24749678,0.849,372.456,5.5483,5,3,2,70.34,26,Fc1ccc(cc1)[C@](c1c[nH]c2c1cccc2NS(=O)(=O)C)(C1CC1)C
44568353,0.35,387.517,5.1541,6,3,0,28.48,29,Cc1cc(C)cc(c1)N(c1cn(c(c1)C(=O)N1CCCC1)C)Cc1ccccc1
44397349,1.03,438.433,3.7408,5,8,0,115.98,32,O=C1[C@H]2N(C(=O)N1c1ccc(c3c1cccc3)[N+](=O)[O-])[C@H]1C[C@@H]2N(C1)C(=O)OC(C)(C)C
46906530,0.063,364.37,5.7563,7,3,1,74.92,27,Fc1cccc(c1)[C@H](CC(=O)c1ccccc1)Nc1ccc(cc1)[N+](=O)[O-]
89553307,0.0338,492.446,3.89388,5,8,1,117.76,34,CNC(=O)c1ccc(cc1F)N1C(=S)N(C(=O)[C@@]21COCC2)c1ccc(c(c1)C(F)(F)F)C#N
44138106,2.9,360.472,5.0161,3,3,1,70.23,26,O=C([C@@]1(C)C[C@]2(C)c3c([C@H]1c1c2cccc1)cccc3)Nc1nccs1
F03,24.7830471203343,262.43,5.8556,11,1,1,20.23,19,CCCCCCCCCCCCc1ccc(cc1)O
44263921,0.024,310.314,4.2117,3,2,2,44.89,22,CCC[C@@H]1CCc2c(N1)cc1c(c2)c(cc(=O)[nH]1)C(F)(F)F
122640139,0.382,373.809,3.24098,5,5,2,76.36,26,N#Cc1ccc(cc1Cl)NC(=O)[C@](CN1CCc2c1cccc2F)(O)C
23598979,0.001,337.329,3.5936,2,5,0,86.44,25,O=C1N2[C@H]3CC[C@@H]([C@@H]2C(=O)N1c1ccc(c2c1cccc2)[N+](=O)[O-])C3
72710581,0.239,435.535,6.482,5,5,1,73.01,31,CC/C(=C/1\c2ccccc2OCc2c1c(OC)ccc2)/c1cccc(c1)NS(=O)(=O)C
H15,119.187447460084,214.217,2.3288,2,3,2,57.53,16,Oc1ccc(c(c1)O)C(=O)c1ccccc1
69267698,0.003,399.387,3.84318,3,6,1,112.64,27,N#Cc1ccc(cc1C(F)(F)F)N1C[C@@H]2[C@@](S1(=O)=O)(C(=O)N)[C@H]1C[C@@H]2CC1
9908041,0.798,383.457,7.1286,1,2,1,21.26,29,Fc1cccc(c1)/C=C/1\Oc2ccccc2-c2c1c1C(=CC(Nc1cc2)(C)C)C
16732139,0.0009,359.731,2.82908,2,5,1,67.57,24,O[C@H]1CCN2[C@@H]1[C@@H](N(C2=O)c1ccc(c(c1C)Cl)C#N)C(F)(F)F
44377093,0.021,296.288,3.7765,1,2,2,44.89,21,O=c1[nH]c2cc3N[C@@H](C(c3cc2c(c1)C(F)(F)F)(C)C)C
H08,24.7830471203343,318.025,6.1879,2,0,0,0,18,Clc1ccc(cc1)C(=C(Cl)Cl)c1ccccc1Cl
10220715,0.153,256.224,2.6129,2,2,1,36.1,18,CN(c1ccc2c(c1)c(cc(=O)[nH]2)C(F)(F)F)C
25167502,1.5,368.9,6.641,2,2,2,37.05,26,COc1ccc2c(c1c1cc(C)c3c(c1Cl)[C@@H](C)CC(N3)(C)C)[nH]cc2
122640109,0.133,447.889,5.43518,6,4,2,78.05,32,N#Cc1ccc(cc1Cl)NC(=O)[C@](Cn1ccc2c1cc(c1ccccc1)c(c2)F)(O)C
16733766,0.0016,305.759,2.28668,1,5,1,67.57,21,Cc1c(ccc(c1Cl)C#N)N1[C@@H](C)[C@H]2N(C1=O)CC[C@@H]2O
136000568,0.43,399.434,4.8651,3,4,3,69.64,29,CCO/N=C\1/c2c(cc(c(c2F)c2cccc3c2[nH]cc3C)F)NC([C@@H]1O)(C)C
44397193,0.005,354.281,3.7373,3,4,0,83.2,25,O=C1N(c2ccc(c(c2)C(F)(F)F)[N+](=O)[O-])C(=O)[C@@H]2[C@H]1[C@@H]1CC[C@H]2C1
42618084,0.0008,291.733,1.91088,1,5,1,68.85,20,N#Cc1ccc(c(c1Cl)C)/N=C/1\OC[C@H]2N1CC[C@H]2O
44568327,4.9,314.339,3.447,5,4,1,83.09,23,Cn1cc(cc1C(=O)N1CCCC1)Nc1ccc(cc1)[N+](=O)[O-]
44425767,0.003,309.68,1.25548,1,6,1,84.64,21,N#Cc1ccc(c(c1Cl)F)N1C(=O)[C@H]2N(C1=O)CC[C@H]2O
118233211,0.0141,478.419,3.94258,4,8,1,131.75,33,N#Cc1ccc(cc1C(F)(F)F)N1C(=S)N([C@@]2(C1=O)COCC2)c1ccc(c(c1)F)C(=O)N
D01,17.0924152120201,268.35,4.8286,4,2,2,40.46,20,CC/C(=C(\c1ccc(cc1)O)/CC)/c1ccc(cc1)O
122640078,0.419,405.346,4.13358,6,4,2,78.05,29,N#Cc1ccc(cc1C(F)(F)F)NC(=O)[C@](Cn1ccc2c1cccc2F)(O)C
11131414,2.06,333.424,5.8142,2,3,2,41.49,25,C=CC[C@H]1Oc2cccc(c2-c2c1c1C(=CC(Nc1cc2)(C)C)C)O
K03,16.2480403361552,373.318,5.2415,0,0,0,0,17,Cl[C@@H]1C=C[C@H]2[C@@H]1[C@@]1(Cl)C(=C([C@@]2(C1(Cl)Cl)Cl)Cl)Cl
18756402,0.0055,307.303,1.61618,1,6,1,84.64,23,N#Cc1ccc(c2c1cccc2)N1C(=O)[C@@H]2N(C1=O)CC[C@H]2O
10759291,0.078,336.351,3.9274,1,2,0,25.24,24,Cn1c(=O)cc(c2c1cc1c(c2)CC[C@@]2(N1CCC2)C)C(F)(F)F
9798904,0.159,359.184,5.2908,1,2,1,24.92,21,Brc1nc2cc3NC(C)(C)CCc3cc2c(c1)C(F)(F)F
44342092,0.697,369.884,6.57,3,3,1,30.49,26,CCCO[C@H]1Oc2ccc(cc2-c2c1c1C(=CC(Nc1cc2)(C)C)C)Cl
10690456,0.732,369.456,5.8501,1,3,1,38.33,28,C[C@H]1c2c(ccc3-c4c(O[C@H](c23)c2ccccc2)cccc4)NC(C1=O)(C)C
10503520,3.499,446.379,7.6517,1,2,1,21.26,29,Cc1cc(Br)cc(c1)[C@@H]1Oc2ccccc2-c2c1c1C(=CC(Nc1cc2)(C)C)C
10520975,0.358,338.367,5.0187,1,2,2,44.89,24,O=c1[nH]c2cc3NC(C)(C)C([C@@H](c3cc2c(c1)C(F)(F)F)C)(C)C
23599037,0.12,440.375,2.95198,4,7,0,84.72,32,N#Cc1ccc(cc1C(F)(F)F)N1C(=O)[C@@H]2N(C1=O)[C@H]1C[C@@H]2N(C1)C(=O)c1ccccc1
24952193,0.696,367.422,4.2192,4,6,2,112.58,26,Oc1ccc2c(c1)Oc1c([C@@H]2C(C(=O)Nc2nncs2)(C)C)cccc1
44449214,0.018,434.256,4.694,5,3,1,45.33,29,O=c1[nH]c2cc3OC[C@H](N(c3cc2c(c1)C(F)(F)F)CC(F)(F)F)CC(F)(F)F
A01,0.0042756591358,284.393,3.7194,0,2,1,37.3,21,O=C1CCC2=C3C=C[C@]4([C@H]([C@@H]3CCC2=C1)CC[C@]4(C)O)C
